Unit Name,Lease Start,Lease End,Previous Lease Start,Previous Lease End,Previous Rent,Rent,Percent Difference,Dollar Difference,Status,Term,Tenant Transfer,Term_Days,Is_Month_To_Month,row_id,tenant_id,current_past_due,current_late_count,ever_conditions_applied,ever_overridden,screening_count,avg_satisfaction,resolved_rate,timely_rate,survey_count,work_order_count,avg_work_order_amount,resident_requested_count,Unit Type,bedrooms,bathrooms,sqft
1803,2020-01-02,2022-01-26,2019-01-30,2020-04-26,1195.0,1995.0,66.95,800.0,Renewed,24 mo 25 day,Yes,745.0,False,0,T0001,,,True,True,3.0,,,,,24.0,0.0,0.0,Unit Type 12,2.0,1.0,925.0
1403,2020-02-27,2021-02-26,,,,2395.0,,,Did Not Renew,12 month,No,360.0,False,1,T0002,,,True,True,3.0,,,,,12.0,0.0,0.0,Unit Type 16,2.0,1.0,976.0
1805,2020-02-27,2021-02-26,,,,1620.0,,,Did Not Renew,12 month,No,360.0,False,2,T0003,,,True,True,3.0,,,,,23.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1805,2020-02-27,,,,,1620.0,,,Did Not Renew,Month To Month,No,,True,3,T0003,,,True,True,3.0,,,,,23.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1805,2020-02-27,2021-02-26,,,,1620.0,,,Did Not Renew,12 month,No,360.0,False,4,T0003,,,True,True,3.0,,,,,23.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1805,2020-02-27,2020-08-26,,,,1620.0,,,Did Not Renew,6 month,No,180.0,False,5,T0003,,,True,True,3.0,,,,,23.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1805,2020-02-27,2020-08-26,2019-02-26,2020-02-26,1565.0,1620.0,3.51,55.0,Renewed,6 month,No,180.0,False,6,T0003,,,True,True,3.0,,,,,23.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
2007,2020-02-27,2020-08-26,2019-02-22,2020-02-26,1175.0,1275.0,8.51,100.0,Renewed,6 month,No,180.0,False,7,T0004,,,True,True,3.0,5.0,1.0,1.0,2.0,12.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
2307,2020-02-27,2021-02-26,,,,1325.0,,,Did Not Renew,12 month,No,360.0,False,8,T0005,,,True,True,3.0,2.0,0.0,0.0,2.0,28.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
2307,2020-02-27,2020-08-26,2019-02-26,2020-02-26,1285.0,1325.0,3.11,40.0,Renewed,6 month,No,180.0,False,9,T0005,,,True,True,3.0,2.0,0.0,0.0,2.0,28.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
1403,2020-03-16,2023-01-26,2020-03-16,2021-01-26,0.0,0.0,,0.0,Renewed,34 mo 11 day,Yes,1031.0,False,10,T0006,,,True,True,3.0,,,,,18.0,0.0,0.0,Unit Type 16,2.0,1.0,976.0
1806,2020-03-27,2021-03-26,,,,1945.0,,,Did Not Renew,12 month,No,360.0,False,11,T0007,0.0,0.0,True,True,4.0,,,,,37.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
2001,2020-03-27,2021-03-26,2019-04-01,2020-03-26,1225.0,1250.0,2.04,25.0,Renewed,12 month,No,360.0,False,12,T0008,,,True,False,2.0,5.0,1.0,1.0,1.0,23.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
2407,2020-03-27,2021-03-26,2018-12-27,2020-03-26,1195.0,1295.0,8.37,100.0,Renewed,12 month,No,360.0,False,13,T0009,,,True,False,3.0,5.0,1.0,1.0,2.0,13.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
1802,2020-04-01,,2020-04-01,2021-03-26,0.0,0.0,,0.0,Renewed,Month To Month,Yes,,True,14,T0008,,,True,False,2.0,5.0,1.0,1.0,1.0,23.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
1702,2020-04-27,2021-04-26,2019-05-01,2020-04-26,1255.0,1300.0,3.59,45.0,Renewed,12 month,No,360.0,False,15,T0010,,,False,True,3.0,,,,,4.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
1907,2020-04-27,2021-04-26,2019-05-01,2020-04-26,1265.0,1325.0,4.74,60.0,Renewed,12 month,No,360.0,False,16,T0011,0.0,0.0,True,True,3.0,,,,,1.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
2306,2020-04-27,2021-04-26,2019-01-30,2020-04-26,1825.0,1875.0,2.74,50.0,Renewed,12 month,No,360.0,False,17,T0012,,,False,False,2.0,4.5,1.0,0.75,4.0,12.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
2501,2020-04-27,2021-04-26,,,,1460.0,,,Did Not Renew,12 month,No,360.0,False,18,T0013,,,False,False,2.0,,,,,17.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
2501,2020-04-27,2020-11-26,2019-08-13,2020-04-26,1445.0,1445.0,0.0,0.0,Renewed,7 month,No,210.0,False,19,T0013,,,False,False,2.0,,,,,17.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
2305,2020-05-01,2021-06-26,2020-05-01,2021-06-26,0.0,0.0,,0.0,Renewed,13 mo 26 day,Yes,416.0,False,20,T0014,,,False,False,2.0,5.0,1.0,1.0,1.0,13.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1903,2020-05-27,2021-05-26,2019-06-11,2020-05-26,2005.0,2005.0,0.0,0.0,Renewed,12 month,No,360.0,False,21,T0015,0.0,2.0,False,False,3.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,Unit Type 12,2.0,1.0,925.0
2106,2020-05-27,2021-05-26,2019-06-01,2020-05-26,2085.0,2120.0,1.68,35.0,Renewed,12 month,No,360.0,False,22,T0016,,,True,True,3.0,5.0,1.0,1.0,1.0,10.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
2205,2020-05-27,2021-05-26,2019-05-11,2020-05-26,1745.0,1780.0,2.01,35.0,Renewed,12 month,No,360.0,False,23,T0017,,,False,True,3.0,,,,,14.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
2403,2020-05-27,2021-05-26,2019-03-01,2020-05-26,1995.0,2080.0,4.26,85.0,Renewed,12 month,No,360.0,False,24,T0018,,,True,True,3.0,,,,,6.0,0.0,0.0,Unit Type 12,2.0,1.0,925.0
1806,2020-06-01,2021-05-26,2020-05-31,2021-05-26,1500.0,0.0,-100.0,-1500.0,Renewed,11 mo 26 day,Yes,356.0,False,25,T0019,,,True,True,3.0,,,,,5.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
2401,2020-06-27,2021-06-26,2019-06-17,2020-06-26,1385.0,1395.0,0.72,10.0,Renewed,12 month,No,360.0,False,26,T0020,,,True,True,2.0,5.0,1.0,1.0,1.0,10.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
1706,2020-07-27,2021-07-26,2018-08-01,2020-07-26,2120.0,2130.0,0.47,10.0,Renewed,12 month,No,360.0,False,27,T0021,,,False,False,3.0,,,,,45.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
1801,2020-07-27,2021-07-26,,,,1360.0,,,Did Not Renew,12 month,No,360.0,False,28,T0022,,,True,True,4.0,5.0,1.0,1.0,1.0,20.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
1901,2020-07-27,2021-07-26,,,,1290.0,,,Did Not Renew,12 month,No,360.0,False,29,T0023,,,True,True,2.0,,,,,21.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
2101,2020-07-27,2021-07-26,2019-08-01,2020-07-26,1345.0,1350.0,0.37,5.0,Renewed,12 month,No,360.0,False,30,T0024,,,True,True,4.0,,,,,16.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
2506,2020-07-27,2021-07-26,2019-08-01,2020-07-26,2145.0,2150.0,0.23,5.0,Renewed,12 month,No,360.0,False,31,T0025,,,True,True,3.0,,,,,6.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
2405,2020-08-01,2021-07-31,2019-08-23,2020-07-31,1745.0,1745.0,0.0,0.0,Renewed,12 month,No,360.0,False,32,T0026,,,True,True,3.0,,,,,7.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1605,2020-08-03,2021-08-26,2020-08-03,2021-07-26,1630.0,0.0,-100.0,-1630.0,Renewed,12 mo 24 day,Yes,384.0,False,33,T0027,,,False,False,3.0,,,,,12.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1703,2020-08-03,2026-08-26,2020-08-03,2021-07-26,0.0,2200.0,,2200.0,Renewed,72 mo 24 day,Yes,2184.0,False,34,T0028,10.88,9.0,True,True,3.0,,,,,12.0,0.0,0.0,Unit Type 12,2.0,1.0,925.0
1402,2020-08-27,2021-08-26,2019-08-16,2020-08-26,1775.0,1800.0,1.41,25.0,Renewed,12 month,No,360.0,False,35,T0029,,,True,True,3.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,Unit Type 9,2.0,1.0,775.0
